article_component_key,member_article_sets,case_count,article_count_median,article_family_keys,log_fine_mean,measure_jaccard_mean,sanction_profile_mode
NONE,NONE,271,0.0,NONE,0.7183412468978083,0.4409651040954854,NoFormalMeasure
5,5,53,1.0,5,5.623609126187504,0.32739823070011753,NoFormalMeasure
6,6,44,1.0,6,7.991568075059979,0.4435971005738447,NoFormalMeasure
5;32,5;32,30,2.0,32-34;5,6.96293612997195,0.35967432950191575,ComplianceOrder
5;6,5;6,26,2.0,5;6,3.591552773625836,0.35016483516483515,NoFormalMeasure
32,32,26,1.0,32-34,3.9279026194412134,0.2621428571428572,NoFormalMeasure
15,15,21,1.0,12-15,0.3344617678556833,0.3924886621315193,NoFormalMeasure
12;15,12;15,16,2.0,12-15,1.1145390024492157,0.3726190476190476,NoFormalMeasure
5;13,5;13,14,2.0,12-15;5,4.545787008898942,0.26700680272108845,ComplianceOrder
13,13,11,1.0,12-15,5.167579050946267,0.4090909090909091,ComplianceOrder
17,17,9,1.0,16-18,0.0,0.3888888888888889,NoFormalMeasure
5;6;12;13;32,5;6;12;13;5;6;12;13;15;5;6;12;13;32;5;6;7;12;13,8,4.5,12-15;32-34;5;6;12-15;5;6;12-15;5;6;7,8.90353692855465,0.3248299319727891,ComplianceOrder
21,21,8,1.0,21-22,5.701982170604448,0.24107142857142858,NoFormalMeasure
5;25,5;25,7,2.0,24-26;5,1.579703713905666,0.5374149659863946,ComplianceOrder
5;6;12;17;25,5;6;12;15;17;5;6;12;17;5;6;12;17;25;5;6;7;12;15;17;6;12;15;17,6,5.0,12-15;16-18;24-26;5;6;12-15;16-18;5;6;12-15;16-18;5;6;7;12-15;16-18;6,5.527649020164159,0.5047619047619049,ErasureOrRestrictionOrder
6;13,6;13,6,2.0,12-15;6,5.177559768911904,0.30833333333333335,ComplianceOrder
37,37,6,1.0,37-44,3.5686169208899954,0.2,ComplianceOrder
5;12;13,5;12;13,5,3.0,12-15;5,4.289394056917017,0.12857142857142856,NoFormalMeasure
5;6;9,5;6;9,5,3.0,5;6;9,4.473701786082758,0.4,NoFormalMeasure
5;6;9;13;35,5;6;9;13;5;6;9;13;35,5,4.0,12-15;35;5;6;9;12-15;5;6;9,8.59412811925846,0.4482142857142858,ErasureOrRestrictionOrder
5;12,5;12,4,2.0,12-15;5,4.5938508621605285,0.9166666666666666,ComplianceOrder
58,58,4,1.0,58,7.394082458242007,0.20833333333333334,NoFormalMeasure
32;33,32;33,4,2.0,32-34,6.938565029137859,0.3333333333333333,ComplianceOrder
12,12,4,1.0,12-15,2.1874934911731816,0.4861111111111111,ComplianceOrder
12;15;31,12;15;31,3,3.0,12-15;30-31,5.0975989129682695,0.2857142857142857,NoFormalMeasure
12;17,12;17,3,2.0,12-15;16-18,0.0,0.0,ComplianceOrder
5;6;13,5;6;13,3,3.0,12-15;5;6,7.661606572950806,0.14285714285714285,ComplianceOrder
28,28,3,1.0,28-29,3.903948299696499,0.041666666666666664,NoFormalMeasure
5;6;9;17;32,5;6;9;17;32;5;6;9;32,3,4.0,16-18;32-34;5;6;9;32-34;5;6;9,2.3412323749897834,0.3333333333333333,NoFormalMeasure
5;9,5;9,3,2.0,5;9,0.0,1.0,ComplianceOrder
5;6;12;14;15,5;6;12;14;5;6;12;14;15,2,4.5,12-15;5;6,12.376915285873096,0.875,ErasureOrRestrictionOrder
5;6;9;12;13;14,5;6;7;9;12;13;14;5;6;9;12;13;14,2,6.5,12-15;5;6;7;9;12-15;5;6;9,9.349000213152364,0.25,ErasureOrRestrictionOrder
5;6;9;12,5;6;9;12,2,4.0,12-15;5;6;9,13.157734204927145,0.375,ErasureOrRestrictionOrder
